number,short_description,assignment_group,impact,urgency,sla_percentage,sla_paused
INC000135,Incidente de teste número 135,Service Desk,1,1,90,true
INC000136,Incidente de teste número 136,Web Team,3,1,79,true
INC000137,Incidente de teste número 137,App Support,2,1,38,true
INC000138,Incidente de teste número 138,Web Team,1,3,33,false
INC000139,Incidente de teste número 139,Finance IT,1,2,78,true
INC000140,Incidente de teste número 140,App Support,2,2,61,true
INC000141,Incidente de teste número 141,Finance IT,3,3,45,false
INC000142,Incidente de teste número 142,Web Team,2,3,76,true
INC000143,Incidente de teste número 143,Web Team,2,3,56,true
INC000144,Incidente de teste número 144,Service Desk,1,2,35,false
INC000145,Incidente de teste número 145,Service Desk,2,2,77,true
INC000146,Incidente de teste número 146,Web Team,1,3,48,true
INC000147,Incidente de teste número 147,App Support,3,3,58,false
INC000148,Incidente de teste número 148,Service Desk,2,3,65,false
INC000149,Incidente de teste número 149,Service Desk,2,2,72,false
INC000150,Incidente de teste número 150,Finance IT,1,3,78,true
INC000151,Incidente de teste número 151,Web Team,3,2,74,false
INC000152,Incidente de teste número 152,Service Desk,2,2,32,true
INC000153,Incidente de teste número 153,NOC Brasil,3,2,32,true
INC000154,Incidente de teste número 154,Service Desk,2,1,48,false
INC000155,Incidente de teste número 155,NOC Brasil,3,2,68,false
INC000156,Incidente de teste número 156,Finance IT,3,1,77,true
INC000157,Incidente de teste número 157,Finance IT,3,1,42,false
INC000158,Incidente de teste número 158,NOC Brasil,1,1,94,true
INC000159,Incidente de teste número 159,Service Desk,1,1,50,false
INC000160,Incidente de teste número 160,NOC Brasil,3,2,64,false
INC000161,Incidente de teste número 161,NOC Brasil,3,3,30,true
INC000162,Incidente de teste número 162,Finance IT,1,2,58,true
INC000163,Incidente de teste número 163,NOC Brasil,3,3,70,true
INC000164,Incidente de teste número 164,Finance IT,2,1,82,true
INC000165,Incidente de teste número 165,NOC Brasil,2,2,93,true
INC000166,Incidente de teste número 166,Finance IT,2,2,34,false
INC000167,Incidente de teste número 167,Service Desk,1,2,43,true
INC000168,Incidente de teste número 168,Service Desk,3,3,80,false
INC000169,Incidente de teste número 169,Service Desk,2,1,82,true
INC000170,Incidente de teste número 170,Service Desk,1,2,90,true
INC000171,Incidente de teste número 171,Web Team,2,2,71,false
INC000172,Incidente de teste número 172,Finance IT,3,1,32,false
INC000173,Incidente de teste número 173,App Support,2,2,88,false
INC000174,Incidente de teste número 174,Service Desk,2,1,56,true
INC000175,Incidente de teste número 175,NOC Brasil,1,1,49,false
INC000176,Incidente de teste número 176,Finance IT,3,3,77,false
INC000177,Incidente de teste número 177,Service Desk,3,3,47,true
INC000178,Incidente de teste número 178,Web Team,1,3,61,false
INC000179,Incidente de teste número 179,Service Desk,2,3,74,false
INC000180,Incidente de teste número 180,App Support,2,1,31,true
INC000181,Incidente de teste número 181,Service Desk,2,2,36,true
INC000182,Incidente de teste número 182,App Support,2,3,78,true
INC000183,Incidente de teste número 183,Service Desk,1,2,49,false
INC000184,Incidente de teste número 184,NOC Brasil,2,3,57,true
INC000185,Incidente de teste número 185,Finance IT,1,3,64,false
INC000186,Incidente de teste número 186,Finance IT,1,1,70,true
INC000187,Incidente de teste número 187,Web Team,1,2,83,true
INC000188,Incidente de teste número 188,Service Desk,2,2,33,false
INC000189,Incidente de teste número 189,App Support,3,1,83,true
INC000190,Incidente de teste número 190,App Support,1,1,58,true
INC000191,Incidente de teste número 191,Service Desk,2,1,88,false
INC000192,Incidente de teste número 192,Finance IT,2,3,42,false
INC000193,Incidente de teste número 193,Finance IT,2,1,74,false
INC000194,Incidente de teste número 194,NOC Brasil,1,3,53,true
INC000195,Incidente de teste número 195,NOC Brasil,3,1,42,false
INC000196,Incidente de teste número 196,NOC Brasil,3,1,47,false
INC000197,Incidente de teste número 197,Finance IT,1,3,49,true
INC000198,Incidente de teste número 198,Finance IT,1,1,85,false
INC000199,Incidente de teste número 199,Finance IT,2,2,32,true
INC000200,Incidente de teste número 200,Finance IT,3,2,41,true
INC000201,Incidente de teste número 201,Service Desk,3,1,81,false
INC000202,Incidente de teste número 202,NOC Brasil,2,2,66,false
INC000203,Incidente de teste número 203,Web Team,3,1,54,true
INC000204,Incidente de teste número 204,NOC Brasil,1,1,54,true
INC000205,Incidente de teste número 205,Finance IT,2,2,74,false
INC000206,Incidente de teste número 206,Finance IT,2,2,48,true
INC000207,Incidente de teste número 207,Web Team,1,2,69,false
INC000208,Incidente de teste número 208,Web Team,3,3,50,true
INC000209,Incidente de teste número 209,App Support,3,3,45,true
INC000210,Incidente de teste número 210,Finance IT,1,1,55,false
INC000211,Incidente de teste número 211,Web Team,1,2,67,false
INC000212,Incidente de teste número 212,Web Team,3,1,75,false
INC000213,Incidente de teste número 213,NOC Brasil,2,2,71,true
INC000214,Incidente de teste número 214,Web Team,2,1,85,false
INC000215,Incidente de teste número 215,App Support,1,3,43,true
INC000216,Incidente de teste número 216,NOC Brasil,1,3,78,false
INC000217,Incidente de teste número 217,App Support,3,3,84,false
INC000218,Incidente de teste número 218,Finance IT,1,2,56,false
INC000219,Incidente de teste número 219,NOC Brasil,2,3,62,true
INC000220,Incidente de teste número 220,Web Team,3,3,55,true
INC000221,Incidente de teste número 221,Web Team,2,2,76,true
INC000222,Incidente de teste número 222,NOC Brasil,1,2,85,false
INC000223,Incidente de teste número 223,NOC Brasil,2,3,34,true
INC000224,Incidente de teste número 224,Finance IT,2,1,34,true
INC000225,Incidente de teste número 225,Finance IT,1,1,94,true
INC000226,Incidente de teste número 226,NOC Brasil,2,1,34,true
INC000227,Incidente de teste número 227,NOC Brasil,3,2,32,false
INC000228,Incidente de teste número 228,Finance IT,1,3,34,false
INC000229,Incidente de teste número 229,NOC Brasil,2,3,88,false
INC000230,Incidente de teste número 230,Finance IT,3,2,53,true
INC000231,Incidente de teste número 231,NOC Brasil,2,2,41,false
INC000232,Incidente de teste número 232,Service Desk,1,2,59,true
INC000233,Incidente de teste número 233,App Support,1,1,83,false
INC000234,Incidente de teste número 234,App Support,1,2,72,false
INC000235,Incidente de teste número 235,Web Team,1,1,55,true
INC000236,Incidente de teste número 236,NOC Brasil,2,1,47,false
INC000237,Incidente de teste número 237,Service Desk,1,3,76,true
INC000238,Incidente de teste número 238,Finance IT,2,1,59,false
INC000239,Incidente de teste número 239,Finance IT,3,1,38,false
INC000240,Incidente de teste número 240,App Support,2,2,84,false
INC000241,Incidente de teste número 241,App Support,2,3,94,true
INC000242,Incidente de teste número 242,Service Desk,3,3,79,false
INC000243,Incidente de teste número 243,Finance IT,1,1,80,true
INC000244,Incidente de teste número 244,Finance IT,3,1,31,true
INC000245,Incidente de teste número 245,NOC Brasil,2,3,36,false
INC000246,Incidente de teste número 246,Web Team,2,1,90,false
INC000247,Incidente de teste número 247,NOC Brasil,2,2,81,true
INC000248,Incidente de teste número 248,Web Team,3,2,64,false
INC000249,Incidente de teste número 249,Finance IT,3,1,81,true
INC000250,Incidente de teste número 250,Web Team,2,3,80,true
INC000251,Incidente de teste número 251,Finance IT,2,1,33,true
INC000252,Incidente de teste número 252,Finance IT,3,1,72,true
INC000253,Incidente de teste número 253,NOC Brasil,3,3,90,false
INC000254,Incidente de teste número 254,App Support,3,1,57,false
INC000255,Incidente de teste número 255,Web Team,1,2,48,false
INC000256,Incidente de teste número 256,Web Team,1,2,37,false
INC000257,Incidente de teste número 257,Finance IT,2,2,81,false
INC000258,Incidente de teste número 258,Web Team,1,2,43,false
INC000259,Incidente de teste número 259,App Support,2,1,95,true
INC000260,Incidente de teste número 260,Web Team,2,1,86,true
INC000261,Incidente de teste número 261,App Support,3,2,56,false
INC000262,Incidente de teste número 262,Web Team,1,1,49,true
INC000263,Incidente de teste número 263,Finance IT,3,3,86,true
INC000264,Incidente de teste número 264,NOC Brasil,3,3,58,true
INC000265,Incidente de teste número 265,Web Team,2,1,47,false
INC000266,Incidente de teste número 266,Service Desk,1,3,47,false
INC000267,Incidente de teste número 267,NOC Brasil,2,3,68,true
INC000268,Incidente de teste número 268,App Support,2,3,95,true
INC000269,Incidente de teste número 269,Web Team,1,1,74,true
INC000270,Incidente de teste número 270,Web Team,2,3,59,false
INC000271,Incidente de teste número 271,NOC Brasil,2,2,90,true
INC000272,Incidente de teste número 272,NOC Brasil,2,2,87,true
INC000273,Incidente de teste número 273,App Support,2,2,78,true
INC000274,Incidente de teste número 274,Web Team,2,3,47,false
INC000275,Incidente de teste número 275,NOC Brasil,1,1,56,false
INC000276,Incidente de teste número 276,Web Team,2,2,89,true
INC000277,Incidente de teste número 277,NOC Brasil,2,1,58,true
INC000278,Incidente de teste número 278,Finance IT,2,1,87,false
INC000279,Incidente de teste número 279,Finance IT,3,2,64,false
INC000280,Incidente de teste número 280,NOC Brasil,1,1,54,true
INC000281,Incidente de teste número 281,App Support,2,1,68,false
INC000282,Incidente de teste número 282,Service Desk,2,1,75,true
INC000283,Incidente de teste número 283,Web Team,2,2,94,true
INC000284,Incidente de teste número 284,Service Desk,1,3,71,true
INC000285,Incidente de teste número 285,App Support,1,3,74,false
INC000286,Incidente de teste número 286,Web Team,3,3,76,true
INC000287,Incidente de teste número 287,Finance IT,3,2,76,true
INC000288,Incidente de teste número 288,Web Team,2,3,93,false
INC000289,Incidente de teste número 289,Finance IT,2,3,75,false
INC000290,Incidente de teste número 290,Web Team,2,2,59,true
INC000291,Incidente de teste número 291,NOC Brasil,3,1,80,false
INC000292,Incidente de teste número 292,App Support,2,2,75,false
INC000293,Incidente de teste número 293,Finance IT,3,3,82,false
INC000294,Incidente de teste número 294,App Support,1,2,46,false
INC000295,Incidente de teste número 295,NOC Brasil,3,1,93,false
INC000296,Incidente de teste número 296,App Support,2,3,92,true
INC000297,Incidente de teste número 297,Finance IT,2,1,71,true
INC000298,Incidente de teste número 298,Finance IT,1,1,62,true
INC000299,Incidente de teste número 299,Web Team,1,1,81,true
INC000300,Incidente de teste número 300,NOC Brasil,1,3,87,false
INC000301,Incidente de teste número 301,NOC Brasil,2,2,86,true
INC000302,Incidente de teste número 302,Web Team,3,1,85,false
INC000303,Incidente de teste número 303,Web Team,1,1,70,true
INC000304,Incidente de teste número 304,App Support,1,3,52,false
INC000305,Incidente de teste número 305,Service Desk,1,1,49,false
INC000306,Incidente de teste número 306,NOC Brasil,1,2,67,true
INC000307,Incidente de teste número 307,Web Team,2,2,79,true
INC000308,Incidente de teste número 308,Web Team,1,1,61,false
INC000309,Incidente de teste número 309,Web Team,1,1,86,true
INC000310,Incidente de teste número 310,Finance IT,2,1,47,true
INC000311,Incidente de teste número 311,Finance IT,3,2,33,true
INC000312,Incidente de teste número 312,NOC Brasil,1,2,57,true
INC000313,Incidente de teste número 313,Finance IT,1,2,72,true
INC000314,Incidente de teste número 314,Service Desk,1,1,56,true
INC000315,Incidente de teste número 315,Web Team,2,3,79,false
INC000316,Incidente de teste número 316,App Support,3,1,33,false
INC000317,Incidente de teste número 317,NOC Brasil,3,3,78,false
INC000318,Incidente de teste número 318,NOC Brasil,3,1,76,false
INC000319,Incidente de teste número 319,App Support,2,3,46,true
INC000320,Incidente de teste número 320,Service Desk,3,2,68,true
INC000321,Incidente de teste número 321,Finance IT,3,3,56,true
INC000322,Incidente de teste número 322,Service Desk,3,2,41,false
INC000323,Incidente de teste número 323,Finance IT,1,2,63,false
INC000324,Incidente de teste número 324,App Support,1,1,45,true
INC000325,Incidente de teste número 325,Service Desk,1,2,71,true
INC000326,Incidente de teste número 326,Finance IT,1,3,68,true
INC000327,Incidente de teste número 327,Web Team,2,3,45,false
INC000328,Incidente de teste número 328,Finance IT,1,1,45,true
INC000329,Incidente de teste número 329,App Support,3,3,93,false
INC000330,Incidente de teste número 330,Service Desk,3,1,48,true
INC000331,Incidente de teste número 331,App Support,3,1,73,true
INC000332,Incidente de teste número 332,NOC Brasil,3,3,60,true
INC000333,Incidente de teste número 333,Service Desk,3,3,74,false
INC000334,Incidente de teste número 334,App Support,1,3,72,false
INC000335,Incidente de teste número 335,Finance IT,1,2,94,true
INC000336,Incidente de teste número 336,NOC Brasil,1,1,74,false
INC000337,Incidente de teste número 337,Web Team,2,3,53,false
INC000338,Incidente de teste número 338,Service Desk,1,1,56,false
INC000339,Incidente de teste número 339,NOC Brasil,3,3,61,false
INC000340,Incidente de teste número 340,Web Team,3,1,71,true
INC000341,Incidente de teste número 341,Service Desk,2,1,68,false
INC000342,Incidente de teste número 342,App Support,1,1,70,false
INC000343,Incidente de teste número 343,App Support,1,2,50,false
INC000344,Incidente de teste número 344,NOC Brasil,2,2,92,true
INC000345,Incidente de teste número 345,NOC Brasil,3,3,61,true
INC000346,Incidente de teste número 346,NOC Brasil,3,1,39,false
INC000347,Incidente de teste número 347,Service Desk,2,3,77,true
INC000348,Incidente de teste número 348,Service Desk,1,2,48,true
INC000349,Incidente de teste número 349,Finance IT,1,3,82,true
INC000350,Incidente de teste número 350,Web Team,1,1,94,true
INC000351,Incidente de teste número 351,NOC Brasil,1,2,76,true
INC000352,Incidente de teste número 352,Service Desk,2,3,94,true
INC000353,Incidente de teste número 353,Web Team,2,2,37,false
INC000354,Incidente de teste número 354,Service Desk,2,1,86,false
INC000355,Incidente de teste número 355,Finance IT,1,2,51,false
INC000356,Incidente de teste número 356,Web Team,3,3,87,false
INC000357,Incidente de teste número 357,App Support,2,1,45,true
INC000358,Incidente de teste número 358,Web Team,3,3,34,true
INC000359,Incidente de teste número 359,Web Team,2,1,75,true
INC000360,Incidente de teste número 360,Web Team,1,2,43,true
INC000361,Incidente de teste número 361,Service Desk,3,3,56,true
INC000362,Incidente de teste número 362,NOC Brasil,3,3,80,false
INC000363,Incidente de teste número 363,Service Desk,2,1,66,true
INC000364,Incidente de teste número 364,Service Desk,2,1,31,true
INC000365,Incidente de teste número 365,NOC Brasil,1,2,91,true
INC000366,Incidente de teste número 366,App Support,1,2,79,false
INC000367,Incidente de teste número 367,Service Desk,1,3,49,false
INC000368,Incidente de teste número 368,Service Desk,2,2,52,false
INC000369,Incidente de teste número 369,Finance IT,3,3,81,false
INC000370,Incidente de teste número 370,App Support,2,1,91,true
INC000371,Incidente de teste número 371,App Support,2,3,90,true
INC000372,Incidente de teste número 372,NOC Brasil,2,1,66,false
INC000373,Incidente de teste número 373,App Support,1,1,41,false
INC000374,Incidente de teste número 374,Finance IT,1,3,86,false
INC000375,Incidente de teste número 375,Service Desk,3,2,58,true
INC000376,Incidente de teste número 376,App Support,1,1,77,false
INC000377,Incidente de teste número 377,Web Team,2,1,74,true
INC000378,Incidente de teste número 378,App Support,1,2,65,true
INC000379,Incidente de teste número 379,Service Desk,2,3,79,false
INC000380,Incidente de teste número 380,Service Desk,2,3,49,true
INC000381,Incidente de teste número 381,App Support,1,1,59,false
INC000382,Incidente de teste número 382,App Support,1,3,62,false
INC000383,Incidente de teste número 383,App Support,2,3,80,true
INC000384,Incidente de teste número 384,Finance IT,3,1,60,false
INC000385,Incidente de teste número 385,App Support,2,3,31,true
INC000386,Incidente de teste número 386,App Support,2,3,49,true
INC000387,Incidente de teste número 387,Service Desk,2,1,33,true
INC000388,Incidente de teste número 388,Web Team,2,3,55,false
INC000389,Incidente de teste número 389,Service Desk,3,1,52,true
INC000390,Incidente de teste número 390,Service Desk,2,3,92,false
INC000391,Incidente de teste número 391,Service Desk,1,1,80,false
INC000392,Incidente de teste número 392,Service Desk,1,1,77,false
INC000393,Incidente de teste número 393,App Support,3,3,71,true
INC000394,Incidente de teste número 394,Web Team,2,1,45,true
INC000395,Incidente de teste número 395,Finance IT,3,3,74,false
INC000396,Incidente de teste número 396,Service Desk,1,3,59,false
INC000397,Incidente de teste número 397,Web Team,3,2,90,true
INC000398,Incidente de teste número 398,NOC Brasil,1,1,83,false
INC000399,Incidente de teste número 399,NOC Brasil,3,2,85,true
INC000400,Incidente de teste número 400,Web Team,2,2,65,true
INC000401,Incidente de teste número 401,Service Desk,3,3,71,true
INC000402,Incidente de teste número 402,Service Desk,2,2,75,true
INC000403,Incidente de teste número 403,Finance IT,2,2,51,true
INC000404,Incidente de teste número 404,Service Desk,1,1,44,true
INC000405,Incidente de teste número 405,Web Team,2,1,68,false
INC000406,Incidente de teste número 406,App Support,3,2,72,false
INC000407,Incidente de teste número 407,App Support,1,3,31,true
INC000408,Incidente de teste número 408,Service Desk,3,1,77,true
INC000409,Incidente de teste número 409,NOC Brasil,1,1,71,false
INC000410,Incidente de teste número 410,NOC Brasil,1,3,69,false
INC000411,Incidente de teste número 411,NOC Brasil,1,3,40,true
INC000412,Incidente de teste número 412,Finance IT,2,2,44,false
INC000413,Incidente de teste número 413,Web Team,3,2,78,false
INC000414,Incidente de teste número 414,Web Team,1,2,71,false
INC000415,Incidente de teste número 415,NOC Brasil,2,1,63,false
INC000416,Incidente de teste número 416,Web Team,3,3,78,false
INC000417,Incidente de teste número 417,Web Team,1,2,44,false
INC000418,Incidente de teste número 418,Finance IT,2,3,84,true
INC000419,Incidente de teste número 419,Web Team,3,2,37,false
INC000420,Incidente de teste número 420,NOC Brasil,2,1,86,false
INC000421,Incidente de teste número 421,Finance IT,1,1,50,true
INC000422,Incidente de teste número 422,NOC Brasil,2,2,56,false
INC000423,Incidente de teste número 423,NOC Brasil,3,1,49,true
INC000424,Incidente de teste número 424,App Support,2,3,52,false
INC000425,Incidente de teste número 425,Finance IT,1,1,39,true
INC000426,Incidente de teste número 426,NOC Brasil,3,3,95,true
INC000427,Incidente de teste número 427,Web Team,2,3,91,true
INC000428,Incidente de teste número 428,App Support,1,1,48,false
INC000429,Incidente de teste número 429,Service Desk,3,2,78,true
INC000430,Incidente de teste número 430,Service Desk,3,3,72,true
INC000431,Incidente de teste número 431,Finance IT,2,1,71,true
INC000432,Incidente de teste número 432,App Support,2,1,72,true
INC000433,Incidente de teste número 433,Service Desk,1,1,67,true
INC000434,Incidente de teste número 434,Web Team,2,2,80,false
INC000435,Incidente de teste número 435,Web Team,1,3,68,false
INC000436,Incidente de teste número 436,NOC Brasil,2,1,66,true
INC000437,Incidente de teste número 437,Finance IT,1,1,30,false
INC000438,Incidente de teste número 438,Finance IT,2,2,67,true
INC000439,Incidente de teste número 439,NOC Brasil,2,2,50,false
INC000440,Incidente de teste número 440,Finance IT,2,2,44,true
INC000441,Incidente de teste número 441,App Support,1,1,89,true
INC000442,Incidente de teste número 442,NOC Brasil,1,2,91,false
INC000443,Incidente de teste número 443,App Support,1,2,89,true
INC000444,Incidente de teste número 444,NOC Brasil,2,1,63,true
INC000445,Incidente de teste número 445,NOC Brasil,3,1,47,false
INC000446,Incidente de teste número 446,Finance IT,2,3,66,false
INC000447,Incidente de teste número 447,App Support,2,1,56,false
INC000448,Incidente de teste número 448,App Support,2,2,69,false
INC000449,Incidente de teste número 449,NOC Brasil,2,2,88,false
INC000450,Incidente de teste número 450,Finance IT,3,1,73,true
INC000451,Incidente de teste número 451,Finance IT,2,3,65,true
INC000452,Incidente de teste número 452,Finance IT,1,3,37,true
INC000453,Incidente de teste número 453,Web Team,2,3,78,false
INC000454,Incidente de teste número 454,Web Team,3,2,58,false
INC000455,Incidente de teste número 455,App Support,3,3,55,false
INC000456,Incidente de teste número 456,Service Desk,3,1,92,false
INC000457,Incidente de teste número 457,NOC Brasil,1,1,31,true
INC000458,Incidente de teste número 458,App Support,3,2,75,false
INC000459,Incidente de teste número 459,Web Team,2,3,86,true
INC000460,Incidente de teste número 460,Finance IT,3,3,63,false
INC000461,Incidente de teste número 461,App Support,2,3,52,true
INC000462,Incidente de teste número 462,NOC Brasil,3,2,47,true
INC000463,Incidente de teste número 463,App Support,2,1,33,true
INC000464,Incidente de teste número 464,Service Desk,3,2,64,false
INC000465,Incidente de teste número 465,NOC Brasil,2,3,65,false
INC000466,Incidente de teste número 466,App Support,2,3,38,false
INC000467,Incidente de teste número 467,Finance IT,3,2,61,true
